gene_id,gene,locus_tag,gene_title,GSM1080843,GSM1080844,GSM1080845,GSM1080849,GSM1080850,GSM1080851
1761921_s_at,ybbL,b0490,ABC transporter ATP-binding protein YbbL,1054.341,996.3606,860.4849,494.9915,494.5017,391.9236
1761923_at,yahM,b0327,uncharacterized protein,148.8429,189.764,175.2306,1517.612,1830.912,2062.024
1761924_s_at,yhaF,b3126,alpha-dehydro-beta-deoxy-D-glucarate aldolase,1248.232,866.2387,540.5978,99.09144,121.0617,110.0281
1761925_s_at,pabB,b1812,para-aminobenzoate synthase component I,90.87136,88.62988,160.6407,78.5278,87.98451,124.3364
1761926_s_at,c4010,c4010,hypothetical protein,135.1434,132.9228,125.7365,39.17928,45.87283,37.96054
1761927_s_at,Z2119,Z2119,hypothetical protein,70.8188,37.8635,33.76414,51.13541,71.238,106.0967
1761928_at,c1809,c1809,hypothetical protein,13.06021,9.248155,2.380764,1.816386,1.856727,4.577769
1761929_s_at,wcaJ,b2047,UDP-glucose lipid carrier transferase,33.91494,22.83834,48.62069,21.20231,23.79756,28.88707
1761930_s_at,1761930_s_at,,,18.32785,28.29509,12.09854,5.896149,13.96168,1.722802
1761931_s_at,ymbA,b0952,hypothetical protein,418.8299,403.4153,327.2375,277.7998,345.114,275.8893
1761932_s_at,ispB,b3187,octaprenyl diphosphate synthase,3047.345,3601.757,3708.882,3902.034,3463.159,3891.561
1761933_s_at,1761933_s_at,,,15.60855,9.591139,12.92412,14.0789,21.90588,28.41174
1761934_s_at,1761934_s_at,,,45.25885,47.53,56.93622,63.72195,81.73657,66.67138
1761935_x_at,c1036,c1036,hypothetical protein,98.69254,143.2817,126.4559,139.7577,289.0889,206.733
1761936_s_at,espD,Z5106,hypothetical protein,6.775656,5.523231,1.154576,19.23804,5.421593,23.03551
1761937_s_at,vacB,b4179,exoribonuclease R,2134.527,1804.354,2043.54,1400.497,1185.079,1292.099
1761938_s_at,c1456,Z2137,tail fiber component V of prophage,0.9699119,1.036793,1.973104,0.7905465,0.4060612,1.203999
1761939_s_at,yjcW,b4087,D-allose transporter ATP-binding protein,39.26539,32.88315,32.50317,2.015747,9.414132,18.90953
1761940_s_at,xisP,Z6081,excisionase,13.92673,10.73238,6.266269,3.045303,3.011069,3.02069
1761941_s_at,ymdB,b1045,hypothetical protein,1467.24,2052.952,1826.496,1409.363,1593.079,826.8368
1761942_s_at,Z1373,Z1373,hypothetical protein,17.73359,3.224459,5.838498,32.67641,23.81661,25.56253
1761943_s_at,Z2788,b1756,ABC transporter ATP-binding protein,205.084,259.7563,241.8221,122.5691,384.7498,270.353
1761944_s_at,c5458,c5458,hypothetical protein,566.5826,337.4136,236.5712,246.7551,148.5004,137.8278
1761945_x_at,c5166,c5166,partial transposase,4.465194,1.452557,2.706912,7.649086,5.202453,26.95245
1761946_at,rttR,b4425,ncRNA,303.2308,451.8962,403.3276,6281.244,8353.235,13750.4
1761947_at,c5197,c5197,transposase insD,0.730125,2.032912,2.294222,1.824889,3.434775,11.59203
1761948_s_at,ycbF,Z1293,pili assembly chaperone,87.91283,97.74762,118.3578,54.80964,174.0638,104.3296
1761949_s_at,c4984,Z5616,sorbose PTS component,0.6908591,1.9087,13.3636,22.43322,2.70792,21.4477
1761950_s_at,pheT,b1713,phenylalanyl-tRNA synthetase subunit beta,1600.65,1145.128,1316.178,310.9576,226.9985,292.7378
1761951_s_at,c1574,c1450,capsid protein of prophage,43.04282,28.83924,48.67841,50.57275,29.8415,32.84034
1761952_at,aroG,b0754,"3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine repressible",8427.419,7445.493,5029.914,1123.165,755.6984,722.9059
1761953_s_at,glgP,b3428,glycogen phosphorylase,3626.312,2898.228,3716.06,133.5948,140.9452,171.5899
1761954_s_at,Z1622,Z1183,hypothetical protein,9.490697,9.597095,1.40695,7.435068,1.206086,1.274021
1761955_at,c5008,c5008,hypothetical protein,628.0483,242.5582,366.0861,400.376,482.4619,251.9527
1761957_s_at,c3175,c3175,hypothetical protein,0.6323595,2.485268,2.165699,9.352689,0.332359,1.05903
1761958_s_at,nagA,b0677,N-acetylglucosamine-6-phosphate deacetylase,817.6224,630.6705,743.1108,904.688,700.8168,577.4146
