Gene_id	Wu_4_readcount	Wu_4_fpkm
b0468	188	79.51908414
b0469	173	50.10860882
b0470	1339	110.8099541
b0471	428	207.3648535
b0472	654	172.5482044
b0473	4102	349.78381
b0474	873	216.4012919
b0475	500	83.01355971
b0476	129	21.48442809
b0477	354	43.37086365
b0478	1622	154.6404509
b0479	204	26.71282528
b0480	1156	111.8124852
b0481	95	31.64373129
b0482	275	55.30582629
b0483	436	203.828873
b0484	4294	274.06882
b0485	1681	288.0655938
b0486	7129	881.5265761
b0487	1572	616.024094
b0488	734	255.675253
b0489	1691	294.5142049
b0490	139	32.77860195
b0491	122	25.00751558
b0492	1326	247.960629
b0493	278	54.87380771
b0494	169	43.09476173
b0495	305	70.98203112
b0496	405	26.81286417
b0497	108	4.033516591
b0498	1	0.433290287
b0499	0	0
b0501	0	0
b0502	44	16.67038176
b0503	117	17.08350828
b0504	7	1.207323422
b0505	15	4.965345217
b0506	3002	588.2011228
b0507	51	4.575808033
b0508	7	1.440397441
b0509	8	1.455145538
b0511	0	0
b0512	23	2.699952032
b0513	32	3.929563527
b0514	37	5.162052611
b0515	32	6.509276987
b0516	28	3.621970265
b0517	11	1.674976453
b0518	8	0.766830293
b0520	12	2.351237
b0521	32	5.722921378
b0522	262	39.22250786
b0523	58	18.18289947
b0524	110	24.32538418
b0525	1112	359.1740141
b0526	418	48.21901911
b0527	14	4.288079739
b0528	45	33.77833436
b0529	1088	200.6388907
b0530	14	4.122242401
b0531	0	0
b0532	9	0.552594871
b0533	0	0
b0534	1	0.309852938
b0535	3	0.757744626
b0536	1	2.076417091
b0537	162	22.25191305
b0539	1	0.573061348
b0540	0	0
b0541	0	0
b0542	3	1.567491333
b0543	36	17.2847693
b0544	2	0.209409451
b0545	106	30.70238459
b0546	140	28.04984491
b0547	0	0
b0548	0	0
b0549	0	0
b0550	0	0
b0551	9	3.747283969
b0552	0	0
b0553	1214	176.7753341
b0554	0	0
b0555	2	0.642104884
b0556	0	0
b0557	2	1.087647048
b0558	0	0
b0559	3	2.317161101
b0560	0	0
b0561	1	0.365032228
b0562	8	1.952783096
b0563	5	4.36841847
b0564	38	8.10079521
b0565	127	21.28436345
b0566	22	4.61607684
b0567	62	11.12549404
b0568	445	23.93152762
b0569	163	11.64482167
b0570	69	7.64518642
b0571	109	25.47860913
b0572	1	0.116363985
b0573	3	1.440397441
b0574	6	0.783745667
b0575	62	3.152931041
b0576	149	17.3004599
b0577	255	32.66862947
b0578	433	105.8559973
b0579	128	55.46115677
b0580	108	69.34732742
b0581	1854	264.9018329
b0582	0	0
b0583	8	2.059698757
b0584	110	7.847948576
b0585	34	4.51875307
b0586	314	12.93240918
b0587	0	0
b0588	37	7.249647416
b0589	42	6.762470163
b0590	92	14.63615788
b0591	96	12.26928468
b0592	91	15.2031918
b0593	64	8.701176381
b0594	88	8.733582996
b0595	143	26.64735267
b0596	90	19.26314651
b0597	76	29.35070728
b0598	7938	602.6401295
b0599	598	87.79678729
b0600	1251	172.2782335
b0601	8	2.030274489
b0602	10	1.309452219
b0603	4	0.708235287
b0604	132	28.25261487
b0605	28044	7949.982534
b0606	4676	477.406211
b0607	3285	1224.287462
b0608	353	45.55213313
b0610	378	147.0467052
b0611	703	139.2794716
b0612	16	1.747367388
b0613	0	0
b0614	7	2.027515964
b0615	5	0.521474612
b0616	0	0
b0617	0	0
b0618	0	0
b0619	83	7.999024489
b0620	12	2.817341251
b0621	429	49.48794066
b0622	468	133.3792625
b0623	17490	13316.0628
b0624	144	59.9565435
b0627	848	664.6163253
b0628	1326	219.4682586
b0629	5	0.837967065
b0630	142	35.36377643
b0631	2024	1225.778223
b0632	495	65.29920579
b0633	621	91.17358681
b0634	261	37.49304068
b0635	292	24.54582643
b0636	104	35.52980355
b0637	240	120.6672574
b0638	42	10.97243933
b0639	114	28.39063742
