Gene_id	CIP_1_readcount	CIP_1_fpkm
b2431	1859	354.4964673
b2432	436	129.9089394
b2433	59	22.5016585
b2434	173	69.69659083
b2435	722	142.427213
b2436	376	71.70019995
b2437	89	14.50563238
b2438	73	25.00691774
b2439	77	20.02266222
b2440	145	28.02399635
b2441	120	15.12095322
b2442	240	34.06904596
b2443	55	14.70288948
b2444	3	2.092961208
b2445	5	2.325512453
b2446	4	1.646262053
b2447	23	6.64532801
b2448	5	2.270143109
b2449	41	17.90467069
b2450	297	62.92836698
b2451	61	7.456546981
b2452	55	7.692954399
b2453	36	5.200691486
b2454	31	6.356400705
b2455	66	8.067739357
b2456	8	4.767300529
b2457	60	35.02506511
b2458	72	12.15028807
b2459	69	14.72882402
b2460	54	13.20175531
b2461	28	10.01133111
b2462	33	16.85581258
b2463	6969	524.5786956
b2464	1089	196.5270767
b2465	2516	215.4705652
b2466	840	138.0873257
b2467	274	81.64002156
b2468	266	23.05639892
b2469	327	32.99274652
b2470	294	16.20331047
b2471	181	87.01324999
b2472	736	111.9808465
b2473	507	124.4817872
b2474	856	72.8715938
b2475	720	143.0190159
b2476	404	97.10870993
b2477	3721	617.0130528
b2478	3302	644.7082463
b2479	436	130.5890909
b2480	676	246.320649
b2481	9	2.499361442
b2482	45	3.825174273
b2483	3	0.543110187
b2484	16	1.906920212
b2485	1	0.263629522
b2486	41	4.450686642
b2487	63	6.482156834
b2488	10	3.143275074
b2489	12	2.713404254
b2490	10	4.145478721
b2491	48	4.092347399
b2492	45	9.09661585
b2493	776	125.4042444
b2494	685	80.30166055
b2495	365	174.0064693
b2496	668	163.3106027
b2497	559	74.36988825
b2498	1191	326.00124
b2499	785	129.7918236
b2500	261	70.0994613
b2501	1453	120.6424558
b2502	1070	119.0897642
b2503	142	10.86026751
b2504	133	118.8845569
b2505	33	10.91243358
b2506	44	13.98408155
b2507	2089	227.1990298
b2508	1476	172.6757198
b2509	1004	125.6814809
b2510	199	158.1154675
b2511	2632	306.660733
b2512	3498	509.1913664
b2513	1142	315.6091133
b2514	3453	464.7949758
b2515	2752	422.0786399
b2516	2965	501.8359551
b2517	3727	553.7993477
