Gene_id	KAN_3_readcount	KAN_3_fpkm
b1023	141	11.50785993
b1024	426	28.95934649
b1025	663	80.39070646
b1026	7	1.330425977
b1027	0	0
b1028	26	12.52734435
b1029	341	56.93102458
b1032	5	9.362656835
b1033	431	75.63511149
b1034	269	60.06309284
b1035	389	115.4963851
b1036	1036	346.9815847
b1037	411	81.20589266
b1038	40	15.80649979
b1039	51	21.54851481
b1040	190	48.09327873
b1041	32	11.56370248
b1042	80	28.90925619
b1043	8	3.958744992
b1044	65	34.32974173
b1045	220	67.88802859
b1046	332	38.47248693
b1047	273	38.84774919
b1048	1131	121.3341809
b1049	2595	168.0861883
b1050	39	28.18652479
b1051	273	119.9618495
b1053	664	89.17339269
b1054	1121	200.5662044
b1055	258	40.37412361
b1056	71	20.31176386
b1057	85	24.70288294
b1058	4	4.674688235
b1059	510	75.10206233
b1060	10018	6473.700755
b1061	1007	674.5375594
b1062	515	81.05360225
b1063	991	291.0868368
b1064	156	39.66992377
b1065	502	68.42096416
b1066	378	106.4750143
b1067	333	84.6800296
b1068	530	94.51824995
b1069	712	76.38367535
b1070	51	20.15328723
b1071	25	14.01213948
b1072	124	30.95918527
b1073	17	6.71776241
b1074	4	1.627484052
b1075	34	8.049732543
b1076	29	3.952605499
b1077	56	12.20613039
b1078	53	11.15387777
b1079	40	9.429628629
b1080	50	7.503768684
b1081	48	8.396573773
b1082	146	14.63399209
b1083	237	40.93659768
b1084	1838	95.06299856
b1085	7	3.593393527
b1086	971	166.6708961
b1087	454	127.8826892
b1088	2062	650.9234707
b1089	739	699.8532176
b1090	2964	456.0374431
b1091	2491	430.2660963
b1092	2256	399.731083
b1093	2543	570.1259312
b1094	5957	4141.818156
b1095	15220	2019.318528
b1096	626	127.3506271
b1097	923	148.6749636
b1098	490	125.7687734
b1099	687	112.6425436
b1100	328	67.73025736
b1101	1489	171.1028801
b1102	243	18.2841145
b1103	273	124.9602599
b1104	193	84.13511306
b1105	574	147.3291346
b1106	209	41.74496594
b1107	542	87.04898253
b1108	496	150.5197958
b1109	1410	178.0411433
b1110	2214	675.6093172
b1111	915	238.1930895
b1112	3251	2076.390518
b1113	190	32.51165572
b1114	981	46.89639914
b1115	42	6.444018559
b1116	661	90.76783713
b1117	329	77.22724806
b1118	608	80.4722235
b1119	663	119.7927303
b1120	478	108.0468579
b1121	35	7.309754893
b1122	13	4.636744337
b1123	464	73.02693484
b1124	70	14.50917386
b1125	114	22.68748149
b1126	1270	184.0581403
b1127	637	85.54736618
b1128	2636	387.1366811
b1129	1159	130.7208892
b1130	388	95.14242708
b1131	325	39.06228818
b1132	316	81.10802532
b1133	937	139.477368
b1134	83	29.60382923
b1135	143	36.03048123
b1136	5440	716.5613237
b1137	13	3.216480306
b1138	6	1.402406471
b1139	31	5.71394359
b1140	91	13.29364467
b1141	7	4.688940334
b1143	61	29.39107713
b1144	59	31.46337494
b1145	1231	300.5149303
b1146	5	4.099073639
b1147	9	2.657786456
b1148	7	3.40259387
b1150	0	0
b1151	13	5.199456029
b1152	41	8.661657913
b1153	19	5.35191871
b1154	16	4.184958992
b1155	25	9.950649776
b1156	17	4.645616791
b1157	14	4.604707873
b1158	17	5.047399865
b1159	90	17.78231226
b1160	6	3.051532598
b1161	20	8.137420262
b1162	1288	289.9456219
b1163	241	32.76620894
b1164	83	57.7087304
b1165	30	18.10799564
b1166	78	48.13878391
b1167	134	88.67827261
b1168	269	29.08567094
b1171	349	174.2702526
b1172	219	104.6012304
b1174	189	116.6439764
b1175	1018	206.3331488
b1176	1434	339.5093079
b1177	142	63.41233594
b1178	44	18.03592401
b1179	262	146.8472218
b1180	745	186.0047825
b1181	375	133.7522405
b1182	62	11.20233677
b1183	569	223.2414062
b1184	990	128.5539265
b1185	995	308.7737222
b1186	1114	119.0453923
b1187	1082	247.6318703
b1188	209	22.46549048
b1189	5419	687.4193826
b1190	2879	442.9594462
b1191	565	53.59945859
b1192	327	58.88957663
b1193	597	160.7439672
b1194	40	8.967769268
b1195	125	80.77586289
b1196	55	20.55113791
b1197	128	12.42178641
b1198	320	37.1603124
