Gene_id	IPM_2_readcount	IPM_2_fpkm
b0167	1387	79.13909202
b0168	2320	445.0762468
b0169	14484	3042.744292
b0170	6706	1200.431865
b0171	1764	370.5744912
b0172	4477	1223.67604
b0173	1740	221.7015139
b0174	3707	741.9611669
b0175	1719	305.5639741
b0176	3122	351.9238199
b0177	8994	563.7990441
b0178	3341	1048.464589
b0179	3868	574.9799033
b0180	1362	455.5392745
b0181	2245	433.9632
b0182	1156	153.4445141
b0183	396	101.165962
b0184	2659	116.4336263
b0185	1444	229.4085084
b0186	682	48.55997663
b0187	249	97.37518616
b0188	694	81.48241275
b0189	125	74.76242736
b0190	293	81.84431883
b0191	122	43.98787925
b0192	608	130.4210041
b0193	71	13.12556361
b0194	4730	419.6612066
b0195	238	51.26928493
b0196	365	137.4521072
b0197	403	75.32314557
b0198	149	34.74738138
b0199	135	19.95113614
b0200	14	3.706970357
b0201	0	0
b0202	0	0
b0203	0	0
b0204	0	0
b0205	0	0
b0206	0	0
b0207	20	3.793914224
b0208	265	44.17111282
b0209	1682	320.2631982
b0210	247	60.37066009
b0211	11170	1253.56621
b0212	161	32.48012122
b0213	322	67.92523276
b0214	616	200.7467024
b0215	756	157.5158552
b0216	1	1.980718855
b0217	8	1.552319102
b0218	3	1.281641612
b0219	608	120.2715096
b0220	1337	430.1962561
b0221	2316	144.4685296
b0222	1373	361.6642108
b0223	484	96.11644567
b0224	2079	427.9074446
b0225	243	132.8359516
b0226	305	178.2267521
b0227	34	6.914029282
b0228	61	18.68159932
b0229	26	2.314885667
b0230	41	8.271335217
b0231	544	78.56851457
b0232	25	12.9689925
b0233	8	3.057951916
b0234	14	4.713498732
b0235	0	0
b0236	0	0
b0237	5217	545.7288
b0238	924	307.0243684
b0239	1642	201.1487612
b0240	3989	1513.392384
b0241	6	0.866564499
b0242	738	101.9531971
b0243	564	68.59542139
b0244	3	6.020342835
b0245	0	0
b0246	2	0.959216049
b0247	1	0.319738683
b0248	2	0.66455491
b0249	1	0.635480633
b0250	193	62.89628825
b0251	4	1.374012179
b0252	5	0.927708953
b0253	143	25.2427029
b0254	43	7.335749584
b0256	0	0
b0258	190	26.15335455
b0259	3	0.449897793
b0260	136	14.77356684
b0261	558	91.21496925
b0262	32	4.661405213
b0263	4	1.753050021
b0264	0	0
b0265	3	1.657775563
b0266	68	33.56324894
b0267	20	2.640958473
b0268	98	16.44279921
b0269	323	25.03173711
b0270	19	2.09529406
b0271	79	7.479027184
b0272	129	25.92158153
b0273	92	13.96160435
b0274	0	0
b0275	0	0
b0276	176	32.41872212
b0277	18	4.378431153
b0278	4	0.872763101
b0279	10	1.783805284
b0280	196	67.78460081
b0281	212	23.07869706
b0283	216	34.42352768
b0284	769	53.33529129
b0285	206	32.82984585
b0286	147	32.49240104
b0287	23	5.703826165
b0288	9	4.159509595
b0289	76	16.30262551
b0290	129	11.96744549
b0291	33	1.992480843
b0292	10	2.279751148
b0293	8	2.0750388
b0294	0	0
b0295	15	10.03390472
