Gene_id	ETH_2_readcount	ETH_2_fpkm
b1921	6	1.413929022
b1922	8	1.445349667
b1923	367	31.89038043
b1924	12	1.109436845
b1925	0	0
b1926	1	0.355413853
b1927	3073	268.6427133
b1928	541	169.9856891
b1929	256	27.61265035
b1930	7	3.891326026
b1931	74	14.38868278
b1932	8	2.1680245
b1936	7	5.62080426
b1937	5	2.064785238
b1938	3	0.235228698
b1939	15	1.959058284
b1940	8	1.514776944
b1941	14	1.325429826
b1942	1	0.292976284
b1943	2	0.230640904
b1944	4	1.118980387
b1945	8	1.035474388
b1946	0	0
b1947	0	0
b1948	0	0
b1949	0	0
b1950	1	0.165498053
b1951	18	3.752350097
b1952	102	70.20269811
b1953	3797	2166.312902
b1954	56	83.7306014
b1955	2680	427.2283574
b1956	827	63.4674783
b1957	500	355.4138525
b1958	844	119.5955999
b1959	53	7.4856872
b1960	57	15.74234351
b1961	518	47.48569519
b1962	291	54.38751117
b1963	35	12.43948484
b1967	5336	814.6886433
b1968	31	2.967274151
b1969	41	7.93651826
b1970	13	4.084683841
b1971	369	47.76125616
b1972	66	13.49902047
b1973	10	1.998179263
b1974	78	19.10801255
b1975	194	280.3978354
b1976	1954	318.5202913
b1977	11	18.82758119
b1978	363	6.67225853
b1981	309	30.52025379
b1982	466	41.66183164
b1983	128	23.22235448
b1984	0	0
b1985	198	17.30922787
b1986	4	6.846393159
b1987	38	5.197787446
b1988	21	2.975719903
b1989	1	1.71159829
b1990	1123	156.5718015
b1991	213	25.65495659
b1992	98	17.13438718
b1993	134	31.92475638
b1994	0	0
b1996	3	0.430733344
b1997	0	0
b1999	41	9.661848317
b2000	305	12.71629755
b2001	30	2.545625636
b2002	8	2.32808
b2003	1	0.585952568
b2004	0	0
b2005	5	1.7344196
b2006	21	16.26018375
b2007	895	352.7967142
b2008	311	38.20145154
b2009	974	267.2982106
b2010	110	12.26132108
b2011	704	64.12980035
b2012	206	117.5297492
b2013	899	110.4279901
b2014	392	37.52166023
b2015	486	67.97805853
b2016	1269	200.0889521
b2017	39	20.13165608
b2018	0	0
b2019	287	41.48153544
b2020	403	40.17075281
b2021	336	40.80987295
b2022	315	38.36672571
b2023	130	28.61352133
b2024	222	39.1301983
b2025	255	42.69082993
b2026	287	61.002258
b2027	2175	288.406929
b2028	119	13.26452008
b2029	4213	389.5047855
b2030	0	0
b2032	599	69.63252953
b2033	305	67.13172311
b2034	725	94.97388295
b2035	815	90.84524256
b2036	1342	158.1243956
b2037	576	60.03760155
b2038	208	48.48915012
b2039	665	98.07729883
b2040	534	77.18167221
b2041	929	111.2759536
b2042	2120	308.4706001
b2043	35	3.263692796
b2044	23	2.450347101
b2045	25	2.538670375
b2046	17	1.495189311
b2047	15	1.398725484
b2048	16	1.518091554
b2049	20	1.810458873
b2050	10	1.062757108
b2051	0	0
b2052	7	0.942619348
b2053	2	0.231874278
b2054	0	0
b2055	2	0.348277028
b2056	4	0.427196946
b2057	5	0.533996182
b2058	1	0.266015276
b2059	0	0
b2060	12	0.721672511
b2061	0	0
b2062	2	0.228213105
b2063	308	25.29361917
b2064	755	52.97276692
b2065	532	118.906086
b2066	146	29.58239038
b2067	830	32.5399699
b2068	389	59.6015216
b2069	147	14.13302002
b2070	127	8.48502655
b2071	2	0.563123247
b2072	6	1.024263544
b2073	8	1.576745091
b2074	107	11.15281834
b2075	265	11.03797296
b2076	328	13.86183306
b2077	94	8.635351824
b2078	113	10.46952002
b2079	212	38.14283768
b2080	4362	1703.950067
b2081	576	55.01242785
b2082	12	7.127751782
b2083	0	0
b2085	3	1.227183679
b2086	984	142.2224072
b2088	0	0
b2089	14	2.100508166
b2091	12828	1602.96359
b2092	22733	2177.571471
b2093	1311	598.3747621
b2094	4310	1237.640476
b2095	43001	4428.846629
b2096	52241	7948.05389
b2097	9057	1118.848883
b2098	44	4.478548264
b2099	61	7.89549221
b2100	32	4.309117019
b2101	99	17.23971289
b2102	28	4.447229744
b2103	321	52.13002731
b2104	397	65.45290697
b2105	25	11.91222253
b2106	10	1.576745091
b2107	161	61.77910523
b2108	2	0.251365159
b2109	3	0.157293192
b2110	1	0.180668708
b2111	4	0.958242873
b2112	95	43.82177182
b2113	2403	281.608804
b2114	1475	94.3314495
b2118	37	1.324804402
b2119	4	0.477801543
b2120	25	1.426331908
b2121	5	0.572038127
b2122	53	3.445436238
b2123	10	2.815616234
b2124	265	73.18808823
b2125	128	23.12559467
b2126	356	27.46678726
b2127	643	114.2655536
b2128	201	35.71909218
b2129	215	30.16992023
b2130	228	25.61189565
b2131	606	85.87077433
b2132	561	31.75618132
b2133	2005	151.9891302
b2134	466	64.97102361
b2135	5646	1249.047585
b2136	469	105.3682374
b2137	747	127.5208112
b2139	9	0.815273837
b2140	91	12.48672339
b2141	58	18.90908587
b2142	199	37.1928341
b2143	550	80.84159154
b2144	30	5.420061251
b2145	3	1.626018375
b2146	122	12.80866775
b2147	157	16.52329352
b2148	372	47.86380499
b2149	431	36.86069269
b2150	3421	445.4541631
b2151	237	29.61508972
b2152	174	19.54592037
b2153	810	157.497744
b2154	679	105.5260671
b2155	210	13.71340798
b2156	1420	125.6569302
b2157	465	68.58036685
b2158	178	22.05190635
b2159	379	57.46022977
b2160	222	26.51798562
b2161	39	4.055297627
b2162	2	0.276181465
b2163	6	1.182558818
b2164	58	6.030955445
b2165	17	2.355042588
b2166	12	1.65708879
b2167	3064	235.5612436
b2168	1294	179.2603005
b2169	1808	207.9463287
b2170	78	8.584056398
b2171	216	49.03594682
b2172	130	11.52732863
b2173	83	10.9389686
b2174	30	5.465607984
b2175	360	82.59140954
b2176	125	10.44327794
b2177	227	16.26914253
b2178	60	7.127751782
b2179	88	11.15708515
b2180	193	15.78976334
b2181	371	139.8847112
b2182	424	46.30944021
b2183	307	57.3778898
b2184	233	17.21123368
b2185	2396	1093.597201
b2186	456	58.8463793
b2187	85	48.49528488
b2188	831	61.3842712
b2189	0	0
b2190	290	14.55386817
b2192	0	0
b2193	312	62.6318189
b2194	251	31.00707405
b2195	70	16.31846398
b2196	181	12.11149489
b2197	33	8.943101064
b2198	0	0
b2199	93	16.39238037
b2200	24	4.708831494
b2201	51	10.63165861
b2202	31	6.687438757
b2203	1	0.289069933
b2204	28	4.215603195
b2205	15	2.803479957
b2206	94	4.916629748
b2207	0	0
b2208	44	11.56279734
b2209	624	165.9935323
b2210	114	9.003817597
b2211	469	37.10961645
b2212	60	11.98907558
b2213	495	60.46040156
b2214	130	16.01381733
b2215	135876	16009.91832
b2216	1840	89.54354839
b2217	1420	283.7414554
b2218	1386	63.26067279
b2219	140	9.967928738
b2220	87	8.165287079
b2221	1	0.196201312
b2222	0	0
b2223	4	0.393292426
b2224	24	2.634561418
b2225	14	2.343810271
b2226	26	2.049768619
b2229	1	0.208463894
b2230	38	2.926640533
b2231	5443	269.4191177
b2232	569	102.373937
b2233	309	10.71014501
b2234	913	51.95292307
b2235	469	53.94182974
b2236	19	9.692344825
b2237	715	142.8698173
b2238	3	1.605944074
b2239	553	66.792064
b2240	336	32.16142305
b2241	1131	90.31439079
b2242	420	43.36049001
b2243	241	26.32211106
b2244	13	1.878954567
b2245	43	6.957093546
b2246	29	2.924312117
b2247	106	11.43336304
b2248	26	4.319435786
b2249	659	71.25826163
b2250	60	14.3736431
b2251	19	5.801755705
b2252	15	3.235857463
b2253	63	7.188712817
b2254	22	2.953346069
b2255	129	8.462183375
b2256	38	5.547806802
b2257	31	2.439519402
b2258	15	5.041917443
b2259	129	62.84835069
b2260	224	21.48838443
b2261	569	76.86018322
b2262	580	87.93386086
b2263	61	10.4545055
b2264	428	33.31829394
b2265	531	53.29726897
b2266	12587	5350.769488
b2267	112	31.53490182
b2268	149	21.11344121
b2269	4	0.429311782
b2270	9	0.677507656
b2271	0	0
b2272	30	7.742944644
b2273	1	0.181424644
b2274	0	0
b2275	7	1.072520954
b2276	4103	366.0660298
b2277	2625	223.1789927
b2278	5548	391.7980433
b2279	42	18.03109485
b2280	880	206.2553038
b2281	818	195.9606676
b2282	2061	274.128742
b2283	7225	344.6419585
b2284	2785	270.7600105
b2285	792	205.637773
b2286	3096	224.8644507
b2287	1451	284.6881041
b2288	1519	445.0309752
b2289	297	41.14397934
b2290	649	69.31270447
b2291	171	37.07321896
b2292	682	48.39910669
b2293	713	142.4701815
b2294	255	67.01166638
b2295	1454	414.7773189
b2296	3489	377.2687023
b2297	3269	198.2453732
b2298	28	2.39466217
b2299	453	108.5210054
b2300	420	98.44003137
b2301	265	53.44432489
b2302	346	69.45708122
