gene_id,ceftazidime_2,ceftazidime_3,ceftazidime_4,control_2,control_3,control_4,kanamycin_2,kanamycin_3,kanamycin_4
b3300,20620,29290,26939,24606,24594,24941,29298,28991,41483
b3301,6691,9344,7857,7664,7449,7912,13811,13694,18384
b3302,25,28,26,44,52,22,72,71,76
b3303,6794,9626,7675,6392,6363,6758,9483,9381,11525
b3304,2410,3249,2574,2466,2325,2422,2020,2248,2514
b3305,8244,10716,8345,7213,6750,6970,8134,8390,10883
b3306,5711,7557,5854,4487,4327,4111,3105,3299,3983
b3307,4989,6900,5259,4446,4397,4272,3660,3905,4542
b3308,12924,17449,14406,10022,9725,9860,8090,8795,10264
b3309,3725,4709,3843,2702,3064,2767,1712,1841,2160
b3310,14808,18927,16479,9415,9661,9089,6763,6996,8343
b3311,963,1754,1453,1137,1455,1538,2420,2372,2887
b3312,49,69,41,69,69,79,104,112,139
b3313,2788,4106,3710,3212,3074,3383,5134,5608,5933
b3314,7799,11501,10394,8987,8203,8997,13603,14860,16685
b3315,2002,3109,2620,2011,2031,2087,2692,3016,3601
b3316,869,1240,1022,865,769,862,1085,1124,1238
b3317,9572,12815,10975,7709,7184,7472,11245,12458,13120
b3318,1232,1800,1459,1086,1014,928,1705,1814,2097
b3319,5316,7326,6394,4258,3827,3645,4669,5244,5646
b3320,10515,13823,12086,6978,6282,6271,10395,11653,12984
b3321,8703,11198,10416,5336,4619,4416,5926,6508,7387
b3322,10,12,17,19,24,18,31,31,33
b3323,15,12,7,0,6,3,125,185,190
b3324,3,6,4,1,0,5,26,34,38
b3325,34,26,32,18,24,14,211,319,272
b3326,7,9,11,3,4,3,50,59,68
b3327,6,8,3,8,9,5,28,27,24
b3328,1,1,2,0,3,0,9,7,7
b3329,1,1,6,2,1,2,16,10,19
b3330,0,0,1,1,0,0,1,3,4
b3331,1,3,1,1,0,0,11,17,17
b3332,3,3,6,1,4,2,16,25,41
b3333,9,13,9,6,9,7,29,30,28
b3334,3,2,1,3,2,4,9,10,14
b3335,25,21,21,19,14,29,94,101,114
b3336,1590,2554,1610,2575,4410,3827,436,430,486
b3337,40,57,40,135,121,104,34,55,64
b3338,245,276,339,274,352,323,600,753,704
b3339,107,171,115,237,260,312,50,49,45
b3340,39875,54905,34070,40140,42426,42682,16515,18338,19441
b3341,6389,8730,6310,4010,4436,4069,4160,4215,6496
b3342,8185,11550,8878,5312,5490,4791,2836,3336,4143
b3343,55,45,81,31,86,53,108,106,114
b3344,48,62,51,29,28,41,57,59,75
b3345,116,137,134,85,107,73,118,151,161
b3346,576,659,896,378,444,362,309,368,327
b3347,3444,3880,4315,1888,1960,1700,1298,1356,1584
b3348,226,260,186,127,150,117,315,331,319
b3349,6537,7882,7064,3631,3828,3286,1663,1894,1904
b3350,200,276,312,226,329,150,804,945,797
b3351,163,217,201,118,168,123,317,361,366
b3352,579,722,675,486,585,386,856,1074,1102
b3353,192,231,157,175,185,128,215,243,261
b3354,12,15,5,10,21,16,3,7,9
b3355,347,460,482,306,355,324,264,302,300
b3356,1053,1117,1369,1041,753,756,407,503,429
b3357,8173,10253,12034,7627,7361,7711,3215,3781,3761
b3358,717,886,982,975,986,710,454,616,636
b3359,90,100,114,93,113,90,347,342,423
b3360,117,134,120,93,116,113,100,119,100
b3361,555,723,416,839,1047,866,121,116,130
