antibiotic_class,treatment,comparison,regulation,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,signal_strength,padj_source
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,gabD,b2661,1314.0,1.998,3.995,3.91e-06,0.000118,7.848379749402361,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,hisM,b2307,246.9,1.511,2.85,1.276e-07,6.662e-06,7.821533406555356,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,ddpB,b1486,207.9,2.295,4.907,1.778e-05,0.0004068,7.781470732944626,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,ddpC,b1485,81.23,1.985,3.958,4.799e-06,0.0001356,7.677464516280877,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,ybdD,b4512,212.9,2.021,4.058,6.314e-06,0.0001709,7.61362829124139,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,downregulated,yjfM,b4185,10.62,-3.0,0.125,0.0001951,0.002982,7.576477082649072,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,puuB,b1301,198.4,1.939,3.836,4.186e-06,0.0001247,7.570114946705106,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,glpX,b3925,1389.0,1.118,2.17,2.078e-09,2.049e-07,7.4776960905074645,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,glsA,b0485,72.39,1.412,2.661,9.294e-08,5.288e-06,7.450712477573652,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,paaK,b1398,273.9,1.564,2.957,4.343e-07,1.801e-05,7.420376553150249,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,flxA,b1566,79.56,1.278,2.426,1.997e-08,1.57e-06,7.417640244220999,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,puuA,b1297,907.2,1.648,3.133,8.381e-07,3.235e-05,7.399727178312222,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,ytfQ,b4227,213.3,1.545,2.917,4.056e-07,1.731e-05,7.356831030132517,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,lsrB,b1516,36.2,1.846,3.595,3.318e-06,0.0001052,7.343358944296489,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,pfkB,b1723,377.9,-1.477,0.3592,2.475e-07,1.144e-05,7.298704761877004,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,garD,b3128,139.7,1.956,3.881,7.092e-06,0.0001873,7.290916107454036,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,glcC,b2980,637.9,1.42,2.676,1.518e-07,7.835e-06,7.250464618857455,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,kdpA,b0698,3406.0,-1.536,0.3449,5.047e-07,2.055e-05,7.199521034938233,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,ugpE,b3451,80.97,1.667,3.175,1.308e-06,4.921e-05,7.181347040488188,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,ycaM,b0899,272.4,1.938,3.831,8.017e-06,0.0002057,7.1449519426956245,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,dadA,b1189,4427.0,1.302,2.466,5.796e-08,3.524e-06,7.099759258538507,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,ddpX,b1488,621.7,2.303,4.935,4.233e-05,0.0008275,7.098380290362817,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,gabT,b2662,1188.0,1.888,3.702,6.728e-06,0.000181,7.065502850646979,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,cyuP,b3110,1342.0,1.875,3.667,7.212e-06,0.0001892,6.9807728773766735,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,fliD,b1924,7947.0,1.193,2.286,2.422e-08,1.791e-06,6.856056966082106,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,xdhB,b2867,55.97,1.927,3.803,1.188e-05,0.000288,6.822750676087962,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,mqsA,b3021,368.0,-1.709,0.3059,3.39e-06,0.0001066,6.788562937183844,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,xdhA,b2866,252.7,1.819,3.528,7.801e-06,0.0002013,6.723308173477537,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,hypA,b2726,12.58,2.085,4.241,3.108e-05,0.0006356,6.665361592403812,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,ykfB,b0250,533.0,1.186,2.276,3.867e-08,2.64e-06,6.6159777427323805,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,yddA,b1496,45.91,-1.679,0.3124,4.17e-06,0.0001247,6.5550402246095265,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,downregulated,ydeO,b1499,12.69,-2.32,0.2002,8.937e-05,0.001537,6.526916627400591,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,ugpA,b3452,95.86,1.372,2.589,4.288e-07,1.795e-05,6.511423570601529,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,yhdX,b3269,122.4,2.4,5.276,0.0001276,0.002106,6.423699919561277,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,ddpA,b1487,1255.0,2.347,5.089,0.0001078,0.001833,6.423357694733678,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,yedE,b1929,209.2,1.333,2.519,3.783e-07,1.63e-05,6.382153923329524,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,cyuA,b4470,1437.0,1.528,2.883,1.994e-06,6.946e-05,6.353829257726592,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,motA,b1890,1977.0,1.189,2.28,1.01e-07,5.673e-06,6.23771660034157,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,ygiW,b3024,458.5,-1.085,0.4713,2.511e-08,1.827e-06,6.226013676122497,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,rsd,b3995,1230.0,0.9187,1.89,1.693e-09,1.758e-07,6.205801163453226,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,downregulated,ariR,b1166,27.7,-2.053,0.241,5.287e-05,0.001007,6.152780496953422,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,kdpC,b0696,640.4,-1.305,0.4047,5.3e-07,2.119e-05,6.099399101492414,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,hypB,b2727,188.4,1.115,2.167,5.586e-08,3.443e-06,6.091315219684288,input
