gene_id,EcMH1_S1,EcMH2_S2,EcMH3_S3,Ectob1_S7,Ectob2_S8,Ectob3_S9,NCMMH1_S73,NCMMH2_S74,NCMMH3_S75,NCMtob1_S76,NCMtob2_S77,NCMtob3_S78
gene-b0095,5856.23810748218,6046.73655447415,6334.61504666812,5489.40144488267,6970.59137403885,5462.77698838258,6813.53164001025,6935.3334547228,6555.80573385298,5688.57041985565,6091.08239565975,6331.51463959419
gene-b0096,10826.5538308069,12758.021957699,12320.5938416017,17067.3901017595,17155.0846532942,15182.1177898375,14077.3929507861,11382.2038398673,12755.4789697149,18541.5820811195,13415.4831276308,22679.3505749253
gene-b0097,2461.24211655013,2508.17842716599,2257.68384835387,2210.44913786432,2468.77341553273,1730.47968481804,2478.99925557354,1975.02622534545,2144.70904345756,2172.55518452141,2188.1961808788,2487.00049534508
gene-b0098,10665.3825050506,8960.22398246235,6994.9109779836,7732.09376303999,8916.91837726456,5513.2026221215,9415.82503845359,9016.19589497826,9391.01612063775,9713.85785034259,10270.0494370002,9358.85880303245
gene-b0099,67.5879753171772,51.3215942599547,34.863625173457,89.5643897027683,68.5175622697721,49.6252268541714,94.4380668789922,79.595831048023,81.1190689868635,124.262415617259,64.4975150366864,98.4862843322527
gene-b0101,20.796300097593,28.9506429158719,13.7341553713618,27.7649608078582,28.9058465825601,18.4093583491281,41.0980476232651,58.6035239584346,28.6884512270615,55.0013970764915,30.6756473954972,28.3924423300188
gene-b0102,880.723309133063,1054.06658980061,930.753144782291,914.452418865264,995.645826732626,985.300875120726,1345.74245302564,1077.60509726554,1182.16204194271,1009.37749079265,842.400470784038,1116.17788909886
gene-b0103,312.984316468774,315.825195445875,349.692725224675,302.727637195357,327.599594602348,304.154616202986,435.464419497575,399.728514164248,421.423455956144,358.5276253875,304.396808770703,325.625822972403
gene-b4727,2.0796300097593,0.0,5.28236745052379,1.79128779405537,1.07058691046519,2.4012206542341,1.74885309035171,0.874679462066187,1.97851387772838,1.0185443903054,0.0,2.66179146843926
gene-b0104,3811.96180788879,3849.1195694966,4911.54525549702,3832.46023538146,3692.45425419444,3929.99780409648,3433.87304290558,2862.82587934263,3088.460163134,3328.60306751804,2205.5003922301,3477.18692160449
gene-b0106,45.7518602147046,40.7940877450922,42.2589396041903,52.8429899246333,40.6823025976772,44.0223786609585,27.9816494456273,50.7314087998389,44.5165622488885,58.0570302474077,40.9008631939962,46.1377187862805
gene-b0107,63.4287152976586,56.585347517386,68.6707768568092,72.5471556592423,81.3646051953544,88.044757321917,55.9632988912546,44.6086525653756,61.3339302095797,63.1497521989347,72.3630656509164,103.809867269131
gene-b0108,3.11944501463895,2.63187662871563,6.33884094062854,5.3738633821661,6.42352146279113,8.004068847447,6.12098581623097,1.74935892413237,4.94628469432094,6.11126634183239,3.14622024569202,10.647165873757
